File	Left Context	Hit	Right Context
A_dialogue_between_Philiater_a.txt	Batchelor; to morrow he inglish Books Onli   123 he is only 	Physician 	in Ordinary to His Majesty, and not a word 
A_dialogue_between_Philiater_a.txt	without much Fee, a cunning Sophister, in distinguish¬ as you 	Physician 	in Ordinary to ing so soon as yoù do, 
A_dialogue_between_Philiater_a.txt	dull road, to write would be the better incouraged himself 	Physician 	in Ordinary to his in their studies and endeavours. 
A_dialogue_between_Philiater_a.txt	Tract in Great Letters, and who one while writes himselt 	Physician 	in Ordinary to his Majesty, and in the time 
GALE_CB0127272860.txt	The main End of the Care and Vigilance of the 	Physician, 	in this Diseas~e, is right- ly to moderate 
GALE_CB0127272860.txt	materiatl ""d D' Caution, concerning the Condud of of the 	Physician, 	in this to nice a Cafe, and in which 
GALE_CB0127272860.txt	the Supply to the Puflules. The main Care of the 	Physician, 	in Cafe of a Loos~eness, ought to be 
A_dialogue_between_Philiater_a.txt	through- pac'd because all the Physicians uho have admirable 	Physician, 	in the Book been before me, have writ nolbing 
GALE_CB0127272860.txt	and 'tis certain that the firff and greatest Care every 	Physician 	ought to be ta his Op~erations be safe 
ProQuestDocuments-2025-06-19.txt	per Corpus. Every Divine is a Spiritual Physician, and every 	Physician 	ought to be a Spiritual Divine, tho' not by 
ProQuestDocuments-2025-06-19.txt	prest, and all too little to make Servants diligent: The 	Physician 	ought to be faithful and cautious in Practice; for 
ProQuestDocuments-2025-06-19.txt	and diseased Containing I. Advice concerning physick, and what a 	physician 	ought to be; with an account of the author'
ProQuestDocuments-2025-06-19.txt	and diseased Containing I. Advice concerning physick, and what a 	physician 	ought to be; with an account of the author'
GALE_CB0127272860.txt	Orgaris are thus ~freed, 'twill 120 very hiappy. Foi, th$ ncl 	Physician 	ought to trifle and bl~e Tiuie, or to 
ProQuestDocuments-2025-06-19.txt	relating to Humane Bodies; as 〈◊〉 Preservation, Agitation, and Affections.  The 	Physician 	ought first to consider the Maete•• Medica. Secondly, the 
ProQuestDocuments-2025-06-19.txt	the Physician, Animam per Corpus. Every Divine is a Spiritual 	Physician, 	and every Physician ought to be a Spiritual Divine, 
A_dialogue_between_Philiater_a.txt	self, because they suffered under the hands of an IU 	Physician, 	and had not the wit to distinguish between a 
ProQuestDocuments-2025-06-19.txt	furnish'd him with the main Materials fit for a 	Physician 	and Surgeon; but as to the practick part, by 
A_dialogue_between_Philiater_a.txt	but indeed a Physick might well suspect they had Combined 	Physician, 	and vou might never read Hippocrates or Galen. have 
A_dialogue_between_Philiater_a.txt	of any advise you to write your next Pro¬ Real 	Physician, 	and who scorns to ject against Physicians in Latin, 
ProQuestDocuments-2025-06-19.txt	places God hath stiled Himself Iehovah Rophe, the Lord the 	Physician, 	and worthily, for from Him comes the Gift of 
b30773234_0002.txt	doubt, but a Lambeth Doctor may be as good a 	Physician, 	as one bred behind a Counter. SCAR. Come, come, 
b30773234_0002.txt	doubt but an Oxford Facobite may be as good & a 	Physician, 	as one bred in a Conventicle. HARL. Far be 
ProQuestDocuments-2025-06-19.txt	the Cure is perform'd, the Patient looks upon his 	Physician 	as a God. But lastly, when the Physician demands 
A_dialogue_between_Philiater_a.txt	ho¬ Pain and Gripes you have endur d nest judicious 	Physician, 	as to become about it, ever since the Publication 
A_dialogue_between_Philiater_a.txt	not only a Prime some Friends by to throw water 	Physician, 	but a most Dextrous Surgeon, he is not only 
ProQuestDocuments-2025-06-19.txt	the Rich for great Sums, since it is not the 	Physician, 	but GOD that cures; for in Exod. 15.26. God saith, 
A_dialogue_between_Philiater_a.txt	the Physicians, both far and near, to render you a 	Physician, 	but the that ever Iheard of, Inever suspect ed 
A_dialogue_between_Philiater_a.txt	call Now open The second Part of the a Good 	Physician, 	but we will very Conclave, that we may see 
ProQuestDocuments-2025-06-19.txt	good Physicians; and yet it is not sufficient, tho' the 	Physician 	or Surgeon do their Parts or Office, unless the 
ProQuestDocuments-2025-06-19.txt	is no ways Essential to the making up of a 	Physician 	or Surgeon. There are others, who, altho' they have 
ProQuestDocuments-2025-06-19.txt	is not sufficient to make a Horse Doctor, much less 	Physician 	or Surgeon: No, these Arts are not to b• 
