File	Left Context	Hit	Right Context
GALE_CB0127272860.txt	One, who is rightly apprized of the Mechaniflu of the 	Body, 	and the Circumffan- ces that 'tis put under here, 
GALE_CB0127272860.txt	dicine, who is duely apprised of the Mechanifin of the 	Body, 	and the Laws o~f Adtion there, while the 
GALE_CB0127272860.txt	fra. Order of Medicines the most for- reign to the 	Body : 	and the most contrary to Nature, of any in 
ProQuestDocuments-2025-06-19.txt	gain an acquaintance with the K•owledge of Man's 	Body, 	and the Use of Instruments belonging to the Art; '
ProQuestDocuments-2025-06-19.txt	Disease are so Mad, that they furiously fall upon an• 	body, 	and it is strange and admirable they do no• 
A_dialogue_between_Philiater_a.txt	you admitted the Devil to take pos¬ session of your 	body, 	and it pro¬ ved a more gentle, harmless, and 
ProQuestDocuments-2025-06-19.txt	Immaterial, seperable from the Body, and so Man consisting of 	Body 	and Soul, became a perfect Creature, being endu'd 
ProQuestDocuments-2025-06-19.txt	proceed from some faculty, and that Man being composed of 	Body 	and Soul, has two sorts of Faculties, viz. Corporeal 
b30773234_0002.txt	The Aliments certainly sup¬ ply all the Juices of the 	Body; 	and after this manner, every Succus is contained in 
ProQuestDocuments-2025-06-19.txt	Word, whereby I may prove a lively Member of thy 	Body, 	and be incorporated into that Society which doth in 
GALE_CB0127272860.txt	thrown inito it, over heat the B~lood, and thle 	Body : 	and bring on F'e- vers. Thley excite an 
GALE_CB0127272860.txt	into Emno- tion, and cast into the Blood, heats the 	Body, 	and brings on a Fever 9. I do not~ transcribe 
GALE_CB0127272860.txt	Phlegm, so as to quite stifle the Powers of the 	Body, 	and confound the O~cono- my.· This is· not 
ProQuestDocuments-2025-06-19.txt	most honourable Practitioner: That it is profitable to the Natural 	Body, 	and consequently to the Body Politick, since the latter 
Law is a bottomless pit or, The history of John Bull. Published from a manuscript found in the cabinet of the famous Sir H. Polesworth, in the year 1712. 1794.txt	call them all by    their names, for he knew every 	body,  	and could talk to them in their own  way. 
GALE_CB0127272860.txt	and as soon as -may· well be, out of the 	Body : 	and finaly to appease the Turtiults i'n the '
GALE_CB0127272860.txt	Cam~phore, and Vitriol, are unnatu- ral, firange to the 	Body: 	and in- deed, as far as they can be 
ProQuestDocuments-2025-06-19.txt	the Blood, which being corrupt, defileth the whole Habit of 	Body, 	and is the Cause of Eruptions, or all sorts 
GALE_CB0127272860.txt	morbid Principles It~hat had layn long hirkeing in' tht 	Body, 	and muchi injured it, be not again pacifyed, flfed , 
GALE_CB0127272860.txt	pr~adical, and ,-ceSfsfll. Ibid, Of~ is aicable to the 	Body : 	and no ways hurltfutll. p.268. Occaflonaly of the ~Use 
GALE_CB0127272860.txt	ous M~edicines are realy Antidotes, beneticent , amicaible to thle 	Body, 	and of thle Nature of Niourithment. TFhey difarmr the 
ProQuestDocuments-2025-06-19.txt	which contract such heat, partly by d•stempers of the 	Body 	and partly by Putrefacti•• which produceth an humour breeding 
ProQuestDocuments-2025-06-19.txt	inspir'd; his Soul is Immortal, Immaterial, seperable from the 	Body, 	and so Man consisting of Body and Soul, became 
ProQuestDocuments-2025-06-19.txt	take a dose of Pills to prepare and cleanse the 	Body, 	and then the Tincture will effectually purifie the Mass 
ProQuestDocuments-2025-06-19.txt	which through too great Plenty or immoderate Heat, overchargeth the 	Body, 	and yieldeth up to the Brain certain Vapours, whereby 
GALE_CB0127272860.txt	be determined, and afcer- tained. Then the Struature of the 	Body 	of Man, and its State in Health, thould be 
GALE_CB0127272860.txt	Kn~owl~ed~e of exteriour NatureI', and of- the 	Body 	of Man, is requi/ite. Burt, wzith all this, 
A_dialogue_between_Philiater_a.txt	com¬ Character of our Pharmacopaea, as piled by the wbole 	body 	of this Apolline¬ of a most Elaborate Work, and 
A_dialogue_between_Philiater_a.txt	would be such Medicines unto the diseale unto the whole 	body 	of this King- as be very noious, and nothing 
ALETTE~1.TXT	Grain of  Vanity), which if he once Attempts in  the 	Body 	of a Performance, his Character  is loſt to all 
ProQuestDocuments-2025-06-19.txt	out of all Mankind, to the building up of the 	Body 	of Christ.  I humbly beseech Thee, most gracious God, 
GALE_CB0127272860.txt	who are rightly inform'd of the Contrivance of the 	Body 	of Man : and know that the Stomach, which is 
GALE_CB0127272860.txt	NeVe>~VS. Of the Animation, and the MechP- symi ofthe- 	Body 	of Man. Of Diseases. AfeRions of the Stomach. px3 
GALE_CB0127272860.txt	are rightly apprized of the Delicacyo the Fabrick of the 	Body 	of Mn and the Fineness of the Mechanifma of 
