File	Left Context	Hit	Right Context
A_dialogue_between_Philiater_a.txt	Treatise, that was cast about it by Parilanus, called The 	Disease 	of London, or a Leighnerus, and others, to obscure 
A_dialogue_between_Philiater_a.txt	so sorry a Market, for the should be more the 	Disease 	of Lon¬ Jesuits Powder, this many a Year don, 
ProQuestDocuments-2025-06-19.txt	Infirmity, the Green-sickness is the Maids, and Covetousness the 	Disease 	of some Teachers, who Preach up hospitality and other 
GALE_CB0127272860.txt	not a legitimate Sym'IP; tom of t-hi~s 	Disease. 	Of the Cafes ~ecited by thaefe Gentlemen there is 
ProQuestDocuments-2025-06-19.txt	for the Comfort of those that are afflicte• with any 	Disease, 	and desire Help, if they, or an• Friend of 
GALE_CB0127272860.txt	emedyesthe Symptoms and Accidenrts of t 4th. Stadiuim of this 	Disease, 	and o the Causes of each, thus fnthd I 
GALE_CB0127272860.txt	tho~se Laws are broke its upon, -undter each various 	DiseasE 	and Symptom ; such a Physician, I fay, has vafflyr 
GALE_CB0127272860.txt	put into Com- monion su~ddenly or leisurel~y, the 	Disease 	is acute, or chronical, thort, ofthd or long. Since 
GALE_CB0127272860.txt	Ine Bult the Body, at this nd~7~, of: ~,the' " '"r 	Disease, 	is in bad P'light to ftandepaup.~ any great 
GALE_CB0127272860.txt	decreased, or the Niumb~ers, of th Dead of this 	Disease, 	is the . Bil of Mortality, to havte leff~ene,
GALE_CB0127272860.txt	Thorax, and the Head, g. At this End of the 	Disease, 	the Frame, being th~us overcharged, and the Organs 
A_dialogue_between_Philiater_a.txt	unconscionably the ceived a palpible prejudice, or possibly Patient's 	Disease, 	the Remedy and his untimely dispatch into the other 
GALE_CB0127272860.txt	the Purge wvas r'epeated, to the End of the 	Disease. 	The Thing I would. gladly know is, whether this 
A_dialogue_between_Philiater_a.txt	a fisth, its ihe new Physicians called the New Disease? 	Disease; 	a denomination so idle, Is a Disease not to 
A_dialogue_between_Philiater_a.txt	way of prevention against Aud what was the Patient's 	disease? 	A Syncopal Fit, or in plain English, the future, 
GALE_CB0127272860.txt	Come Considerations upon the new Pradice of Purgeing in that 	Disease. 	To the whole is premiled, An IDEA of the 
GALE_CB0127272860.txt	some considerations upon the new practice of purgeing in that 	disease. 	To the whole is premited, an idea of the 
